timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2017-08-17 00:00:00,301.13,312.18,298.0,302.0,7030.7103400000005,1503014399999,2154655.3003566,4522,6224.5899899999995,1908705.3685301999,50579.87228839
2017-08-18 00:00:00,302.0,311.79,283.94,293.96,9537.846459999999,1503100799999,2858946.5093539,5658,7452.435420000001,2240813.2612264,55329.57432378
2017-08-19 00:00:00,293.31,299.9,278.0,290.91,2146.19773,1503187199999,620022.5898617,1795,1537.9755,444713.6122085999,58005.17104565
2017-08-20 00:00:00,289.41,300.53,282.85,299.1,2510.13871,1503273599999,742847.8945599,2038,2186.68739,647506.0620205,60299.06615403
2017-08-21 00:00:00,299.1,346.52,294.6,323.29,5219.44542,1503359999999,1689472.341214,3925,4004.1996700000004,1297977.4231142001,66203.84022245
2017-08-22 00:00:00,321.04,330.41,144.21,309.8,7956.35088,1503446399999,2454425.8033137,6577,4433.78132,1364472.488333,66821.52067468
2017-08-23 00:00:00,312.25,324.99,309.41,315.74,8665.725690000001,1503532799999,2753464.9450407997,8540,2282.23633,728206.9176149,76587.70953099
2017-08-24 00:00:00,315.74,328.04,314.01,323.42,6753.27192,1503619199999,2159417.1141537,6495,1901.9002899999998,610929.1471679,102226.34289434
2017-08-25 00:00:00,323.42,338.28,323.42,327.24,7125.96962,1503705599999,2354162.038294,7452,2595.8256100000003,859314.6835184,106332.85796088
2017-08-26 00:00:00,327.24,335.44,323.41,330.79,4877.685210000001,1503791999999,1601994.3773166,4400,941.99655,311132.2631003,92462.65806951
2017-08-27 00:00:00,332.18,348.13,330.73,348.13,4635.43715,1503878399999,1554477.3581603002,4973,1166.20029,392130.11519859993,88406.05374074
2017-08-28 00:00:00,348.11,351.0,331.95,346.0,4279.1817,1503964799999,1463758.1691041,4526,1114.26279,383473.98891029996,82902.92984582
2017-08-29 00:00:00,347.0,377.6,346.0,374.7,3032.13425,1504051199999,1102069.6205808998,3265,923.1678400000001,334768.81046929996,85024.54473430001
2017-08-30 00:00:00,374.7,393.71,362.05,385.93,4446.596079999999,1504137599999,1679526.2125114999,4812,1285.37799,487837.74475769995,84593.83335425
2017-08-31 00:00:00,384.64,389.36,377.78,384.79,4435.86855,1504223999999,1704441.3942666,4574,1432.19381,550808.610884,82026.24194321
2017-09-01 00:00:00,386.44,394.39,383.18,388.46,4198.68434,1504310399999,1635227.6137661,4124,1564.05531,609630.9497713001,84919.76768269
2017-09-02 00:00:00,388.58,394.32,320.08,343.14,8240.32724,1504396799999,2904008.4613861,8217,2460.6677600000003,868487.2833919,87519.78442451
2017-09-03 00:00:00,343.56,367.28,320.08,341.77,5253.62211,1504483199999,1801702.6178029,6153,2240.91753,767938.2521776,88087.12404857
2017-09-04 00:00:00,339.29,344.55,267.94,283.77,6737.8106099999995,1504569599999,2002446.1818020002,7403,2954.16805,877011.1066647,77119.81932553
2017-09-05 00:00:00,286.81,321.52,235.55,312.09,8344.419240000001,1504655999999,2397490.9178386,8999,4312.97282,1251958.9913116002,82323.90789166
2017-09-06 00:00:00,313.29,336.34,312.09,335.0,5486.30988,1504742399999,1793962.8584993999,7089,2183.6536300000002,713126.1017199,84763.06977404
2017-09-07 00:00:00,335.01,342.5,320.17,334.49,3103.89745,1504828799999,1027135.6869524,2635,1321.09841,438034.17329640005,82526.80962161
2017-09-08 00:00:00,334.49,335.1,272.0,302.99,4915.75693,1504915199999,1494309.8866163,3227,2306.9483800000003,698362.8493954,79848.59094656
2017-09-09 00:00:00,300.01,307.0,281.66,296.74,2740.58822,1505001599999,813750.3589359,1956,1755.91508,520754.9145735,74712.70835115
2017-09-10 00:00:00,296.72,302.78,261.03,293.5,4156.45099,1505087999999,1181903.7721999,2494,2282.40311,651266.4580305,72108.07698301
2017-09-11 00:00:00,293.51,304.98,285.21,297.3,4829.646470000001,1505174399999,1436811.8161568998,3490,2412.2422100000003,718382.7521631999,70010.65222023
2017-09-12 00:00:00,297.78,316.46,286.01,293.96,5176.314020000001,1505260799999,1573452.4124518998,5279,2207.60465,671349.2542696999,70070.60153339
2017-09-13 00:00:00,293.93,294.5,257.05,276.91,6451.22836,1505347199999,1761080.8976069,4527,3264.5567300000002,890399.3695974001,67083.54240680001
